CustomerID,invoice_frequency,total_quantity,total_bill,day_gap,country,category
12519.0,17,175,330.84,63,Germany,0
12520.0,155,1430,2582.51,78,Germany,0
12521.0,38,309,599.68,142,Germany,2
12522.0,12,194,192.72,38,Germany,0
12523.0,110,861,1745.57,1,France,0
12524.0,144,3699,4485.72,8,Germany,0
12526.0,71,632,1316.66,0,Germany,0
12527.0,18,234,348.71000000000004,81,Germany,0
12528.0,95,750,1922.28,8,Germany,0
12530.0,68,900,1623.63,59,Germany,0
12531.0,17,45,125.22,14,Germany,0
12532.0,16,153,349.83000000000004,29,France,0
12534.0,63,651,1089.18,130,Germany,2
12535.0,34,219,716.35,91,France,2
12536.0,273,2652,4106.82,7,France,0
12538.0,21,191,363.95,28,Spain,0
12539.0,274,2066,3852.5,21,Spain,0
12540.0,481,6677,13309.04,19,Spain,0
12541.0,52,680,981.18,29,Spain,0
12544.0,20,132,355.7,29,Spain,0
12545.0,50,523,1000.39,74,Spain,0
12546.0,70,617,1141.5,46,Spain,0
12547.0,8,134,207.8,197,Spain,2
12548.0,5,49,95.2,165,Spain,2
12550.0,57,569,964.83,78,Spain,0
12551.0,10,100,168.0,357,Spain,1
12552.0,20,88,437.82,38,Italy,0
12553.0,196,1924,3652.25,7,France,0
12556.0,119,355,599.56,49,Spain,0
12557.0,33,4384,11990.96,15,Spain,0
12558.0,22,0,1.0658141036401504e-14,1,USA,0
12559.0,22,281,536.21,310,Germany,1
12560.0,111,1078,2101.39,4,Germany,0
12561.0,16,177,238.85,302,Germany,1
12562.0,168,1779,3781.74,7,France,0
12564.0,21,133,456.9,260,France,1
12565.0,10,75,131.17,281,Saudi Arabia,1
12566.0,20,264,346.7,72,Germany,0
12567.0,463,4089,9114.94,22,France,0
12569.0,191,1793,4064.99,1,Germany,0
12571.0,34,523,519.61,39,France,0
12572.0,62,450,1004.72,8,Germany,0
12573.0,28,84,160.54000000000002,226,France,1
12574.0,11,61,218.45,315,France,1
12576.0,89,964,1306.98,35,Poland,0
12577.0,147,463,564.2,34,France,0
12578.0,120,1171,2753.36,20,Italy,0
12579.0,31,278,410.72,72,France,0
12580.0,24,238,415.7,246,Germany,1
12581.0,15,161,197.71,39,Germany,0
12582.0,22,300,511.36,238,Finland,1
12583.0,251,5009,7187.34,2,France,0
12584.0,126,354,1893.95,3,Italy,0
12585.0,97,1258,1982.81,233,Germany,1
12586.0,12,77,179.94000000000003,16,Italy,0
12587.0,4,51,144.0,7,Finland,0
12588.0,10,53,214.9,38,Finland,0
12589.0,35,306,646.68,28,France,0
12590.0,70,4279,9861.38,189,Germany,2
12591.0,26,228,452.85,316,Italy,1
12592.0,18,290,437.6,91,Germany,2
12593.0,21,206,418.1,108,France,2
12594.0,119,1776,3320.2200000000003,37,Italy,0
12596.0,27,474,618.27,50,Spain,0
12597.0,214,2187,3683.13,18,Spain,0
12598.0,133,1940,3002.68,9,France,0
12599.0,62,956,1032.58,28,France,0
12600.0,65,773,2581.04,28,Germany,0
12601.0,29,244,569.5600000000001,189,Germany,2
12602.0,12,162,153.12,58,France,0
12603.0,3,64,739.1999999999999,21,Germany,0
12604.0,16,201,254.18,78,France,0
12607.0,202,0,3.552713678800501e-15,57,USA,0
12609.0,60,648,1126.85,77,Germany,0
12610.0,111,1028,2057.99,22,Italy,0
12611.0,65,846,1193.32,51,Italy,0
12612.0,21,251,643.59,57,Germany,0
12613.0,163,1596,3218.98,30,Germany,0
12614.0,20,76,315.6,277,Germany,1
12615.0,105,1376,2291.19,1,France,0
12616.0,36,273,657.25,84,France,0
12617.0,41,210,352.98,28,France,0
12618.0,11,96,177.31,21,Italy,0
12619.0,95,3354,3214.81,15,Germany,0
12620.0,92,1181,1339.41,14,France,0
12621.0,474,7404,13612.07,1,Germany,0
12622.0,11,69,180.1,231,Germany,1
12623.0,18,191,305.1,275,Germany,1
12624.0,38,355,641.13,105,France,2
12625.0,91,1577,2614.32,211,Germany,2
12626.0,307,3350,6388.35,22,Germany,0
12627.0,230,2752,4478.53,10,Germany,0
12628.0,43,445,769.61,3,Germany,0
12630.0,64,548,1270.88,9,Finland,0
12631.0,31,236,640.5,56,Finland,0
12633.0,103,1149,2140.63,58,Germany,0
12635.0,101,1172,1689.18,89,Germany,0
12637.0,386,2982,5934.25,66,France,0
12638.0,39,577,671.69,32,Sweden,0
12639.0,22,201,486.1,238,Sweden,1
12640.0,53,311,1174.58,23,France,0
12641.0,10,72,185.9,114,Sweden,2
12642.0,47,552,1013.26,24,Germany,0
12643.0,24,1808,3344.64,127,France,2
12644.0,31,325,477.91,129,Germany,2
12645.0,74,1072,1755.38,33,Germany,0
12646.0,45,897,1346.97,4,USA,0
12647.0,128,1420,3669.92,21,Germany,0
12648.0,21,160,318.05,154,Germany,2
12649.0,33,574,603.71,106,Germany,2
12650.0,20,254,314.44,2,France,0
12651.0,9,78,114.0,334,France,1
12652.0,51,502,914.53,321,France,1
12653.0,43,919,2209.85,148,Israel,2
12654.0,38,264,601.98,10,Germany,0
12656.0,130,1708,3982.72,16,France,0
12657.0,56,654,1152.06,10,France,0
12658.0,36,320,686.05,18,Germany,0
12659.0,5,105,91.68,29,France,0
12660.0,13,127,245.1,10,France,0
12662.0,232,2040,3817.08,0,Germany,0
12664.0,38,1202,4863.88,7,Finland,0
12665.0,4,36,61.75,324,Germany,1
12667.0,33,395,620.13,57,Finland,0
12668.0,168,1595,3743.18,6,Germany,0
12669.0,102,1114,1607.73,150,France,2
12670.0,94,1391,2986.15,9,France,0
12672.0,10,78,225.9,329,France,1
12673.0,42,351,610.52,4,Germany,0
12674.0,90,1103,1922.26,11,France,0
12676.0,45,670,1331.39,24,Sweden,0
12678.0,167,10899,17588.26,41,France,0
12679.0,56,530,1058.67,51,France,0
12680.0,52,443,862.81,0,France,0
12681.0,646,7518,13677.59,14,France,0
12682.0,524,5555,12279.82,3,France,0
12683.0,362,4903,8221.09,3,France,0
12684.0,105,1985,2283.63,7,France,0
12685.0,157,1523,2863.08,27,France,0
12686.0,7,107,89.14,371,France,1
12688.0,171,3028,4873.81,113,Israel,2
12689.0,72,628,1247.61,25,France,0
12690.0,16,106,389.01,205,France,2
12691.0,32,394,1035.8,27,France,0
12693.0,41,250,830.96,120,Germany,2
12694.0,37,509,869.67,69,France,0
12695.0,27,220,582.1,6,France,0
12697.0,43,499,939.02,20,Sweden,0
12700.0,270,2963,4867.99,7,France,0
12701.0,53,678,797.71,79,Germany,0
12702.0,12,53,219.0,19,Germany,0
12703.0,22,161,274.7,63,Germany,0
12704.0,90,1003,2220.84,6,Finland,0
12705.0,348,3973,6814.24,14,Germany,0
12707.0,33,256,603.42,291,France,1
12708.0,174,1270,2616.32,29,Germany,0
12709.0,256,3808,9264.1,2,Germany,0
12710.0,79,849,1130.57,96,Germany,2
12712.0,142,1044,4241.63,22,Germany,0
12713.0,38,508,848.55,0,Germany,0
12714.0,259,3069,4708.86,8,France,0
12715.0,20,192,343.36,105,Sweden,2
12716.0,69,708,1053.49,3,France,0
12717.0,56,505,980.98,150,Greece,2
12718.0,19,203,238.25,70,France,0
12719.0,42,361,608.1,4,France,0
12720.0,359,4654,5713.28,2,Germany,0
12721.0,164,1954,2628.98,31,France,0
12722.0,57,560,904.33,84,France,0
12723.0,69,434,725.07,3,France,0
12724.0,53,445,1031.41,4,France,0
12725.0,24,164,427.8,370,Italy,1
12726.0,124,3143,2609.1,27,France,0
12727.0,141,2085,3947.7,10,France,0
12728.0,46,419,836.33,70,France,0
12729.0,26,233,453.01,113,France,2
12731.0,277,8366,18793.41,23,France,0
12732.0,12,111,236.26,179,France,2
12733.0,22,137,383.95,233,USA,1
12734.0,4,88,110.4,352,France,1
12735.0,43,368,779.5699999999999,314,France,1
12736.0,4,173,234.0,332,France,1
12738.0,11,148,155.35,371,Germany,1
12739.0,38,486,1013.04,77,United Arab Emirates,0
12740.0,27,342,427.6,63,France,0
12743.0,131,315,540.13,133,Unspecified,2
12744.0,229,5234,9120.39,51,Singapore,0
12747.0,103,1275,4196.01,1,United Kingdom,0
12748.0,4459,23750,28405.56,0,United Kingdom,0
12749.0,231,1422,3868.2,3,United Kingdom,0
12750.0,15,137,275.88,128,Poland,2
12752.0,53,2262,4366.78,80,Norway,0
12753.0,230,11250,21024.01,3,Japan,0
12754.0,65,6479,2949.12,235,Japan,1
12755.0,6,866,2203.2,249,Japan,1
12756.0,4,144,112.07999999999998,86,Japan,0
12757.0,370,2378,4205.25,15,Portugal,0
12758.0,97,2135,2791.59,116,Portugal,2
12759.0,95,902,1531.44,51,Netherlands,0
12762.0,69,1227,1898.52,7,Portugal,0
12763.0,18,316,494.08,137,Japan,2
12764.0,45,386,1693.88,316,Lebanon,1
12766.0,310,3646,6989.63,3,Portugal,0
12769.0,32,356,1143.6,238,Brazil,1
12770.0,12,743,1351.45,210,Japan,2
12772.0,55,556,892.47,59,Portugal,0
12775.0,67,853,1351.24,16,Netherlands,0
12778.0,51,824,804.23,19,Netherlands,0
12779.0,159,1996,3868.7,20,Poland,0
12781.0,30,592,707.72,20,Czech Republic,0
12782.0,107,1070,2273.32,4,Portugal,0
12783.0,86,622,1603.87,1,Portugal,0
12784.0,57,280,532.8199999999999,8,Portugal,0
12785.0,15,128,305.71,2,Portugal,0
12787.0,20,261,463.66,9,Netherlands,0
12789.0,4,4,91.85,64,Netherlands,0
12790.0,21,166,324.92,191,Netherlands,2
12791.0,2,97,192.6,373,Netherlands,1
12792.0,25,217,400.54,256,Portugal,1
12793.0,24,295,545.48,334,Portugal,1
12794.0,45,592,860.41,52,Portugal,0
12795.0,14,68,430.48,18,Portugal,0
12797.0,17,79,194.18,359,Portugal,1
12798.0,8,5256,6977.04,9,Japan,0
12802.0,26,302,412.58,183,Netherlands,2
12808.0,28,188,483.65,36,Portugal,0
12809.0,26,219,484.36,167,Portugal,2
12811.0,31,230,514.85,260,Portugal,1
12812.0,15,164,229.64,44,Japan,0
12814.0,2,49,125.92,101,Poland,2
12815.0,47,379,1063.46,147,Poland,2
12816.0,29,128,572.2,95,Poland,2
12817.0,4,53,166.04,280,Austria,1
12818.0,16,923,1517.88,177,Austria,2
12820.0,59,722,942.34,2,United Kingdom,0
12821.0,6,70,92.72,213,United Kingdom,2
12822.0,47,548,918.98,70,United Kingdom,0
12823.0,5,230,1759.5,74,United Kingdom,0
12824.0,25,232,397.12,59,United Kingdom,0
12826.0,94,1054,1468.12,2,United Kingdom,0
12827.0,25,197,430.15,5,United Kingdom,0
12828.0,56,494,1018.71,2,United Kingdom,0
12829.0,12,375,253.05,321,United Kingdom,1
12830.0,39,9847,6748.4,37,United Kingdom,0
12831.0,9,135,215.05,261,United Kingdom,1
12832.0,27,195,383.03,31,United Kingdom,0
12833.0,24,156,417.38,144,United Kingdom,2
12834.0,18,110,312.38,282,United Kingdom,1
12836.0,174,1062,2610.36,58,United Kingdom,0
12837.0,12,24,134.1,172,United Kingdom,2
12838.0,120,355,671.95,33,United Kingdom,0
12839.0,316,3804,5583.62,2,United Kingdom,0
12840.0,116,1505,2714.27,143,United Kingdom,2
12841.0,433,2646,3845.63,4,United Kingdom,0
12842.0,34,547,1118.99,69,United Kingdom,0
12843.0,108,753,1680.76,65,United Kingdom,0
12844.0,52,125,325.96000000000004,28,United Kingdom,0
12845.0,27,204,354.09,266,United Kingdom,1
12847.0,84,873,843.64,21,United Kingdom,0
12849.0,48,597,1010.29,30,United Kingdom,0
12851.0,47,106,131.81,96,United Kingdom,2
12852.0,20,145,299.75,289,United Kingdom,1
12853.0,84,782,1881.7,107,United Kingdom,2
12854.0,114,621,1280.9,78,United Kingdom,0
12855.0,3,30,38.1,372,United Kingdom,1
12856.0,314,1073,2153.53,7,United Kingdom,0
12857.0,46,343,1106.4,210,United Kingdom,2
12863.0,6,186,504.2,51,United Kingdom,0
12864.0,3,216,147.12,137,United Kingdom,2
12865.0,96,877,1548.07,25,Austria,0
12866.0,26,171,559.12,282,Belgium,1
12867.0,547,4260,3958.74,25,United Kingdom,0
12868.0,107,928,1607.0600000000002,185,United Kingdom,2
12871.0,11,200,380.64,83,United Kingdom,0
12872.0,66,319,599.97,326,United Kingdom,1
12873.0,4,128,374.0,281,United Kingdom,1
12875.0,2,2019,343.2300000000001,142,United Kingdom,2
12876.0,85,1941,2218.02,57,Belgium,0
12877.0,154,1178,1535.77,3,United Kingdom,0
12878.0,49,536,841.64,17,United Kingdom,0
12879.0,12,363,552.5699999999999,44,United Kingdom,0
12881.0,7,21,298.0,275,United Kingdom,1
12882.0,13,246,1463.04,8,United Kingdom,0
12883.0,42,196,703.47,24,United Kingdom,0
12884.0,7,43,309.05,87,United Kingdom,0
12885.0,72,654,1158.27,62,United Kingdom,0
12886.0,86,761,1351.09,67,United Kingdom,0
12888.0,7,68,313.77,213,United Kingdom,2
12890.0,79,256,376.72,23,United Kingdom,0
12891.0,3,950,331.0,185,United Kingdom,2
12893.0,31,90,176.55,30,United Kingdom,0
12895.0,24,204,347.3,41,United Kingdom,0
12897.0,4,110,216.5,204,United Kingdom,2
12901.0,125,20915,16293.1,8,United Kingdom,0
12902.0,10,66,138.68,264,United Kingdom,1
12904.0,71,294,496.06,17,United Kingdom,0
12906.0,63,1749,2919.81,11,United Kingdom,0
12908.0,4,0,246.0,58,United Kingdom,0
12909.0,96,1270,2128.83,39,United Kingdom,0
12910.0,75,1692,3075.04,22,United Kingdom,0
12912.0,24,670,1662.3,2,United Kingdom,0
12913.0,50,1419,2483.63,4,United Kingdom,0
12915.0,22,93,363.65,148,United Kingdom,2
12916.0,105,1075,2921.15,138,United Kingdom,2
12917.0,2,120,594.0,127,United Kingdom,2
12919.0,52,668,1301.44,7,United Kingdom,0
12920.0,27,128,162.78,16,United Kingdom,0
12921.0,741,9454,16389.74,3,United Kingdom,0
12922.0,28,370,405.38,160,United Kingdom,2
12923.0,28,68,172.82,63,United Kingdom,0
12924.0,31,480,929.95,87,United Kingdom,0
12925.0,45,541,694.05,4,United Kingdom,0
12928.0,84,1472,2062.7000000000003,34,United Kingdom,0
12929.0,9,36,105.1,121,United Kingdom,2
12930.0,27,250,409.9,77,United Kingdom,0
12931.0,102,23377,33462.81,21,United Kingdom,0
12933.0,107,498,606.28,23,United Kingdom,0
12935.0,130,1852,2156.45,1,United Kingdom,0
12936.0,63,539,1012.9,16,United Kingdom,0
12937.0,120,1007,1504.27,14,United Kingdom,0
12938.0,9,140,114.14,25,United Kingdom,0
12939.0,47,4876,11581.8,63,United Kingdom,0
12940.0,100,399,862.44,45,United Kingdom,0
12942.0,70,198,675.6,130,United Kingdom,2
12944.0,30,289,604.51,35,United Kingdom,0
12945.0,23,165,462.95,287,United Kingdom,1
12947.0,103,1157,1407.29,143,United Kingdom,2
12948.0,118,1077,2053.7,15,United Kingdom,0
12949.0,219,2363,4143.02,30,United Kingdom,0
12950.0,23,1380,1843.0,1,United Kingdom,0
12951.0,65,500,1042.07,8,United Kingdom,0
12952.0,80,652,1382.84,5,United Kingdom,0
12953.0,17,84,329.85,9,United Kingdom,0
12955.0,183,3642,4734.26,0,United Kingdom,0
12956.0,19,34,108.07,305,United Kingdom,1
12957.0,244,2531,3979.04,3,United Kingdom,0
12962.0,16,129,266.39,6,United Kingdom,0
12963.0,96,873,1841.03,7,United Kingdom,0
12965.0,108,282,769.8100000000001,88,United Kingdom,0
12966.0,10,75,160.18,9,United Kingdom,0
12967.0,33,243,1194.75,2,United Kingdom,0
12968.0,5,73,135.95,111,United Kingdom,2
12970.0,129,268,405.47,6,United Kingdom,0
12971.0,308,9203,10930.26,3,United Kingdom,0
12974.0,8,24,144.8,197,United Kingdom,2
12976.0,22,561,738.6,211,United Kingdom,2
12977.0,9,12,39.24,155,United Kingdom,2
12980.0,24,864,7092.06,155,United Kingdom,2
12981.0,20,242,372.22,29,United Kingdom,0
12982.0,34,278,377.2,239,United Kingdom,1
12984.0,4,26,97.5,18,United Kingdom,0
12985.0,78,1413,1215.62,0,United Kingdom,0
12987.0,30,217,545.0,73,United Kingdom,0
12988.0,83,126,505.82,291,United Kingdom,1
12989.0,68,2915,6854.51,2,United Kingdom,0
12990.0,13,200,409.5,30,United Kingdom,0
12991.0,31,405,503.76,22,United Kingdom,0
12993.0,27,240,414.76,22,United Kingdom,0
12994.0,73,440,902.22,3,United Kingdom,0
12995.0,5,98,200.72,77,United Kingdom,0
12997.0,67,648,1197.94,21,United Kingdom,0
12999.0,28,342,455.88,195,United Kingdom,2
13000.0,31,379,534.85,106,United Kingdom,2
13001.0,340,5482,9765.07,3,United Kingdom,0
13002.0,7,73,120.95,317,United Kingdom,1
13003.0,6,103,149.05,105,United Kingdom,2
13004.0,409,4796,5613.43,11,United Kingdom,0
13005.0,29,167,468.95,173,United Kingdom,2
13006.0,4,55,81.57,55,United Kingdom,0
13008.0,15,115,178.46999999999997,322,United Kingdom,1
13011.0,3,13,50.55,371,United Kingdom,1
13012.0,106,667,1296.62,8,United Kingdom,0
13013.0,222,2217,4786.99,0,United Kingdom,0
13014.0,124,886,3365.43,2,United Kingdom,0
13015.0,175,1609,3339.64,52,United Kingdom,0
13016.0,47,527,789.89,72,United Kingdom,0
13017.0,1,48,204.0,6,United Kingdom,0
13018.0,459,5434,7272.75,15,United Kingdom,0
13021.0,134,1336,2584.4,3,United Kingdom,0
13023.0,40,286,689.9,63,United Kingdom,0
13026.0,43,1586,936.15,0,United Kingdom,0
13027.0,26,17280,6912.0,113,United Kingdom,2
13028.0,47,796,659.68,22,United Kingdom,0
13029.0,10,134,1247.5,30,United Kingdom,0
13030.0,92,348,752.4399999999999,10,United Kingdom,0
13032.0,75,367,996.52,38,United Kingdom,0
13033.0,11,83,190.55,356,United Kingdom,1
13034.0,37,369,642.77,54,United Kingdom,0
13035.0,30,627,886.63,57,United Kingdom,0
13037.0,48,431,881.07,137,United Kingdom,2
13038.0,28,360,908.46,79,United Kingdom,0
13040.0,43,355,676.99,8,United Kingdom,0
13043.0,14,251,471.57,253,United Kingdom,1
13044.0,33,429,560.47,290,United Kingdom,1
13045.0,18,221,305.28000000000003,98,United Kingdom,2
13046.0,35,264,629.31,30,United Kingdom,0
13047.0,196,1355,3079.1,31,United Kingdom,0
13048.0,136,1220,1789.41,13,United Kingdom,0
13049.0,14,268,656.6800000000001,63,United Kingdom,0
13050.0,422,3707,5684.61,8,United Kingdom,0
13052.0,18,222,348.15000000000003,211,United Kingdom,2
13055.0,78,891,1201.96,63,United Kingdom,0
13058.0,8,52,271.40000000000003,24,United Kingdom,0
13059.0,8,35,183.4,249,United Kingdom,1
13060.0,15,123,307.53,253,United Kingdom,1
13061.0,10,107,248.61,71,United Kingdom,0
13062.0,11,343,346.98,190,United Kingdom,2
13064.0,68,514,1105.59,12,United Kingdom,0
13065.0,14,74,205.86,372,United Kingdom,1
13066.0,49,320,430.9,23,United Kingdom,0
13067.0,15,32,115.46,81,United Kingdom,0
13068.0,2,200,344.0,9,United Kingdom,0
13069.0,469,5454,3713.14,0,United Kingdom,0
13070.0,9,110,228.8,191,United Kingdom,2
13072.0,7,69,177.15,266,United Kingdom,1
13075.0,22,485,919.61,129,United Kingdom,2
13077.0,111,862,728.02,0,United Kingdom,0
13078.0,380,5557,12432.28,0,United Kingdom,0
13079.0,6,62,220.1,3,United Kingdom,0
13080.0,6,120,58.08,178,United Kingdom,2
13081.0,1061,19021,27964.48,0,United Kingdom,0
13082.0,75,4313,3595.48,125,United Kingdom,2
13083.0,18,187,303.75,3,United Kingdom,0
13085.0,29,108,272.38,157,United Kingdom,2
13089.0,1853,30742,57322.13,2,United Kingdom,0
13090.0,161,2194,8689.39,8,United Kingdom,0
13091.0,24,450,319.82,20,United Kingdom,0
13092.0,26,271,459.83,70,United Kingdom,0
13093.0,170,3943,7741.47,266,United Kingdom,1
13094.0,30,1542,1708.86,20,United Kingdom,0
13095.0,6,144,74.39999999999999,70,United Kingdom,0
13097.0,435,2338,5886.12,32,United Kingdom,0
13098.0,605,15911,28658.88,0,United Kingdom,0
13099.0,1,288,207.36,98,United Kingdom,2
13101.0,8,113,101.19,233,United Kingdom,1
13102.0,310,4160,6336.29,0,United Kingdom,0
13103.0,8,82,243.94,39,United Kingdom,0
13104.0,20,504,1098.48,2,United Kingdom,0
13106.0,2,14,59.5,128,United Kingdom,2
13107.0,60,1288,1524.07,43,United Kingdom,0
13108.0,10,298,350.06,372,United Kingdom,1
13109.0,50,514,766.84,2,United Kingdom,0
13110.0,146,384,1452.87,30,United Kingdom,0
13113.0,280,2594,10510.0,0,United Kingdom,0
13115.0,132,1534,2205.63,8,United Kingdom,0
13116.0,31,290,485.19,116,United Kingdom,2
13117.0,76,945,984.91,21,United Kingdom,0
13118.0,82,389,1125.0,19,United Kingdom,0
13120.0,1,12,30.6,238,United Kingdom,1
13121.0,53,227,254.73,268,United Kingdom,1
13122.0,55,585,922.39,93,United Kingdom,2
13124.0,222,2119,3756.33,89,United Kingdom,0
13126.0,142,2130,2056.29,4,United Kingdom,0
13127.0,15,127,259.17,77,United Kingdom,0
13130.0,2,32,64.0,93,United Kingdom,2
13131.0,46,443,1039.3,22,United Kingdom,0
13132.0,3,20,77.3,261,United Kingdom,1
13133.0,7,32,109.8,273,United Kingdom,1
13134.0,105,1044,1740.63,72,United Kingdom,0
13135.0,1,4300,3096.0,196,United Kingdom,2
13136.0,139,1312,2545.38,49,United Kingdom,0
13137.0,688,2203,3557.96,10,United Kingdom,0
13138.0,63,473,962.39,21,United Kingdom,0
13139.0,174,2418,5055.79,15,United Kingdom,0
13140.0,45,185,422.47,107,United Kingdom,2
